year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex
2018,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2006,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2018,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2020,Toyota,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2020,Coca-Cola,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
2020,Kia,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2020,Hynudai,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2020,Budweiser,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2010,Hynudai,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2010,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2007,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2002,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2020,NFL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2017,NFL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2009,Pepsi,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2004,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2020,Doritos,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2007,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2020,Pepsi,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2019,Hynudai,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2009,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2011,Kia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2019,Doritos,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2019,Pepsi,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2013,Hynudai,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2019,NFL,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2011,Coca-Cola,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019,Pepsi,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2016,Hynudai,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2010,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2001,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2018,Doritos,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2001,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,Coca-Cola,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2013,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2004,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2018,Kia,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2018,Pepsi,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2018,NFL,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2010,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017,NFL,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2000,E-Trade,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2007,E-Trade,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2013,Budweiser,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2007,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2009,Budweiser,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2012,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017,Kia,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
2007,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2011,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2016,Pepsi,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2009,Hynudai,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2011,Coca-Cola,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2016,Hynudai,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2009,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2015,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2007,Coca-Cola,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2019,Toyota,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2002,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2014,Coca-Cola,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2016,Coca-Cola,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2015,Budweiser,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2016,Hynudai,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2001,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2000,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2018,Coca-Cola,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2001,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2014,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2016,Budweiser,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2004,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2015,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2016,Kia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2017,Budweiser,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2000,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2009,Coca-Cola,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2015,Doritos,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2004,Toyota,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2016,NFL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2017,Hynudai,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2012,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2008,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2013,Hynudai,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2010,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2016,Bud Light,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2019,Toyota,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2009,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2019,Budweiser,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2019,Coca-Cola,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2012,Hynudai,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2011,Hynudai,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015,Kia,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2014,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2007,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2008,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,NFL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2005,Pepsi,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2018,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2004,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
2002,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2006,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2014,Bud Light,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2009,Coca-Cola,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2014,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2014,Toyota,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2009,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2014,Kia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
2014,Hynudai,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
2013,Bud Light,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2008,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2011,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2005,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2014,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2012,Pepsi,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2012,Doritos,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2012,Toyota,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2016,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2002,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2002,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2013,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2008,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2012,Coca-Cola,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2004,Pepsi,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2012,Kia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2012,NFL,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2005,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2010,Hynudai,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2004,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2008,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2016,Toyota,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2006,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2007,Coca-Cola,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2007,Budweiser,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2013,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2009,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2009,Coca-Cola,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2009,Pepsi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
2001,E-Trade,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2018,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2015,Doritos,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2010,Kia,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2008,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2012,Coca-Cola,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2011,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2008,Coca-Cola,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2000,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
2019,Kia,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2002,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2013,Kia,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2008,Pepsi,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
2019,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2011,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2008,Bud Light,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2008,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2010,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2013,Budweiser,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2001,Pepsi,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,Coca-Cola,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2011,Pepsi,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2018,E-Trade,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2016,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2008,Coca-Cola,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2013,Kia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2014,Coca-Cola,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2012,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2004,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2007,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2007,Budweiser,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2019,Kia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2002,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2010,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,Toyota,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2003,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2013,Budweiser,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2010,Budweiser,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2002,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2006,Budweiser,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2012,Coca-Cola,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2019,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2007,Toyota,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2014,Hynudai,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2006,Pepsi,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2006,Pepsi,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2015,Pepsi,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2012,Bud Light,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2009,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2006,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2014,Bud Light,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,Pepsi,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2005,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2007,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2005,Pepsi,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2015,Budweiser,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2019,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2004,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2003,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2009,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2004,Budweiser,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
2009,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2014,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2003,Pepsi,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2015,Coca-Cola,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,NFL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2012,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2002,Pepsi,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2002,Bud Light,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
2000,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2001,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2013,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015,Toyota,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2000,Budweiser,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2001,Doritos,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2016,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2008,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2007,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2001,NFL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2001,Pepsi,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
2014,NFL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2012,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
2001,Pepsi,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
2001,E-Trade,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2001,Budweiser,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE